Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,791","1,877","1,782","1,693","1,961","2,138","1,896","1,769","2,061","1,998","1,916","1,898","2,283"
Expenses+,"1,580","1,691","1,608","1,543","1,757","1,905","1,693","1,581","1,793","1,807","1,757","1,703","2,013"
Operating Profit,211,186,175,150,204,232,204,188,267,192,158,195,271
OPM %,12%,10%,10%,9%,10%,11%,11%,11%,13%,10%,8%,10%,12%
Other Income+,17,20,15,17,16,24,17,12,16,24,-7,-7,-700
Interest,27,21,22,22,16,16,12,10,13,10,5,8,9
Depreciation,30,29,32,32,35,37,38,38,40,40,44,44,45
Profit before tax,170,156,136,112,169,203,171,151,231,166,102,136,-484
Tax %,23%,22%,26%,24%,21%,25%,25%,26%,26%,25%,26%,26%,10%
Net Profit+,132,122,101,85,133,152,128,112,172,124,75,101,-531
EPS in Rs,2.06,1.85,1.52,1.34,2.15,2.36,1.94,1.71,2.63,1.90,1.11,1.53,-8.29
Raw PDF,,,,,,,,,,,,,
