Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,771,814,851,895,768,758,868,974,921,923,990,"1,003","1,007"
Expenses+,721,762,780,836,708,683,764,857,785,811,865,867,838
Operating Profit,50,52,71,59,60,74,103,117,136,112,125,136,169
OPM %,6%,6%,8%,7%,8%,10%,12%,12%,15%,12%,13%,14%,17%
Other Income+,1,1,1,-2,2,2,2,3,14,7,5,-2,13
Interest,37,39,43,46,45,44,25,27,28,27,30,26,51
Depreciation,14,13,12,14,19,16,16,13,16,16,16,18,29
Profit before tax,-0,1,16,-3,-1,16,64,80,106,76,84,89,103
Tax %,753%,286%,29%,33%,70%,28%,26%,28%,26%,26%,25%,28%,63%
Net Profit+,-1,-3,11,-4,-2,11,48,57,79,56,63,64,38
EPS in Rs,-0.05,-0.11,0.46,-0.18,-0.10,0.40,1.70,2.05,2.81,2.02,2.30,2.38,1.46
Raw PDF,,,,,,,,,,,,,
