Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"20,857","23,371","23,142","26,927","28,041","26,934","28,497","17,300","24,191","29,463","20,651","29,428","19,890"
Expenses+,"21,215","23,045","23,557","26,663","27,766","26,623","28,807","16,852","23,814","29,024","20,336","29,157","19,782"
Operating Profit,-358,326,-415,264,275,311,-310,448,377,439,315,271,108
OPM %,-2%,1%,-2%,1%,1%,1%,-1%,3%,2%,1%,2%,1%,1%
Other Income+,882,114,136,103,174,90,279,-29,124,164,157,174,428
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,525,440,-279,367,450,401,-30,419,500,604,471,445,537
Tax %,31%,5%,-235%,-0%,8%,-20%,"-1,541%",-1%,5%,9%,5%,6%,7%
Net Profit+,362,417,378,368,412,479,435,421,475,548,448,418,497
EPS in Rs,1.68,1.94,1.76,1.71,1.91,2.23,2.02,1.96,2.21,2.54,2.08,1.94,2.31
Raw PDF,,,,,,,,,,,,,
