Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"2,646","3,155","3,767","5,665","7,617","9,576","11,147"
Interest,"1,618","1,968","2,157","3,213","4,695","5,981","6,759"
Expenses+,438,552,624,718,721,781,"1,010"
Financing Profit,591,635,986,"1,733","2,201","2,814","3,377"
Financing Margin %,22%,20%,26%,31%,29%,29%,30%
Other Income+,-0,0,-0,0,-0,-2,-10
Depreciation,23,22,26,33,40,41,47
Profit before tax,567,613,960,"1,700","2,161","2,770","3,320"
Tax %,26%,26%,26%,26%,20%,22%,23%
Net Profit+,421,453,710,"1,258","1,731","2,163","2,560"
EPS in Rs,0.86,0.93,1.45,1.87,2.58,2.60,3.07
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%
