Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"10,021","10,730","11,248","11,572","12,199","12,547","12,686","12,801","10,634","12,264","11,609","11,373","11,005"
Interest,"5,351","5,863","6,171","6,277","6,822","7,139","7,339","7,573","7,586","7,624","7,199","6,811","6,634"
Expenses+,"4,096","4,237","4,424","4,618","4,753","4,947","5,752","5,726","6,770","5,989","6,644","6,095","5,272"
Financing Profit,574,630,653,677,623,460,-405,-498,"-3,722","-1,350","-2,235","-1,533",-901
Financing Margin %,6%,6%,6%,6%,5%,4%,-3%,-4%,-35%,-11%,-19%,-13%,-8%
Other Income+,"2,154","2,210","2,282","2,396","2,508","2,442","2,185","2,355",709,"2,157","1,651","1,707","1,714"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"2,727","2,840","2,935","3,073","3,131","2,902","1,780","1,857","-3,013",807,-584,174,813
Tax %,25%,25%,25%,25%,25%,25%,25%,24%,-23%,25%,-25%,26%,27%
Net Profit+,"2,043","2,124","2,202","2,301","2,349","2,171","1,331","1,402","-2,329",604,-437,128,594
EPS in Rs,26.34,27.38,28.34,29.59,30.18,27.88,17.09,18.00,-29.89,7.75,-5.61,1.64,7.63
Gross NPA %,1.98%,1.94%,1.93%,1.92%,1.92%,2.02%,2.11%,2.25%,3.13%,3.64%,3.60%,3.56%,3.43%
Net NPA %,0.59%,0.58%,0.57%,0.57%,0.57%,0.60%,0.64%,0.68%,0.95%,1.12%,1.04%,1.04%,1.00%
Raw PDF,,,,,,,,,,,,,
